name,teams,position,start_year,stop_year,total_game,games_started
Robert Alexander,RAM,,1982,1983,24,0
Roc Alexander,DEN|HOU,db,2004,2006,27,1
Rogers Alexander,NYJ|NWE,lb,1986,1987,4,2
Rufus Alexander,MIN,,2008,2008,1,0
Shaun Alexander ,SEA|WAS,RB,2000,2008,123,96
Stephen Alexander,WAS|SDG|DET|DEN,TE,1998,2006,118,99
Vadal Alexander,OAK,rt/t/te,2016,2017,24,9
Vincent Alexander,NOR,,1987,1987,1,0
Willie Alexander,HOU,LCB,1971,1979,122,98
Alton Alexis,CIN,,1980,1980,1,0
Rich Alexis,JAX|STL,,2005,2007,4,0
Ted Alflen,DEN,,1969,1969,4,0
Julie Alfonse,RAM,WB,1937,1938,20,11
Brian Alford,NYG,,1998,1999,4,0
Bruce Alford,NYY,RE,1946,1951,75,45
Bruce Alford,WAS|BUF,K,1967,1969,27,0
Darnell Alford,KAN,,2000,2001,3,0
Dominic Alford,CAR,,2012,2012,0,0
Gene Alford,PRT|2TM,WB,1931,1934,38,16
Jay Alford,NYG|OAK,dt/nt,2007,2010,36,3
Lynwood Alford,NYJ,,1987,1987,1,0
Mario Alford,CIN|CLE,,2015,2016,4,0
Mike Alford,STL|DET,,1965,1966,25,0
Robert Alford,ATL,CB,2013,2018,77,65
Warren Alfson,BKN,LG,1941,1941,11,11
Charles Ali,CLE,fb,2007,2008,28,4
Tuineau Alipate,NYJ|MIN,,1994,1995,24,0
Don Allard,NYT|BOS,,1961,1962,5,0
Raul Allegre,BAL|IND|NYG|2TM,k,1983,1991,92,0
Andy Alleman,MIA|KAN,lg/rg,2008,2009,24,7
Anthony Allen,ATL|WAS|SDG,wr,1985,1989,45,7
Anthony Allen,BAL,,2011,2012,21,0
Antonio Allen,NYJ,CB,2012,2016,50,18
Armando Allen,CHI,,2011,2012,17,0
Asher Allen,MIN,cb/lcb/rcb,2009,2011,36,21
Beau Allen,PHI|TAM,DT,2014,2018,65,10
Brian Allen,STL|CAR,lb/mlb,2001,2004,47,9
Brian Allen,IND,,2003,2003,4,0
Brian Allen,PIT,,2017,2017,10,0
Brian Allen,LAR,,2018,2018,3,0
Buddy Allen,DEN,,1961,1961,1,0
Carl Allen,BDA,,1948,1948,13,0
Carl Allen,STL,RCB,1977,1982,79,57
Chase Allen,MIA,lb,2017,2018,19,5
Chuck Allen ,SDG|PIT|PHI,MLB,1961,1972,144,39
Cortez Allen,PIT,cb/lcb,2011,2015,56,18
Dalva Allen,HOU|OAK,LDE,1960,1964,70,28
David Allen,JAX|STL,,2003,2005,23,0
Denicos Allen,2TM,,2014,2014,0,0
Derek Allen,NYG,,1995,1995,1,0
Don Allen,DEN,,1960,1960,10,0
Doug Allen,BUF,LILB,1974,1975,28,13
Duane Allen,RAM|PIT|CHI,,1961,1967,49,3
Dwayne Allen,IND|NWE,p/TE,2012,2018,77,67
Earl Allen,HOU,,1987,1987,1,0
Ed Allen,CRD,,1928,1928,2,2
Eddie Allen,CHI,FB,1947,1947,9,5
Egypt Allen,CHI,db,1987,1987,6,3
Eric Allen,PHI|NOR|OAK,CB/rcb,1988,2001,217,214
Ermal Allen,CLE,,1947,1947,12,0
Gary Allen,HOU|2TM|DAL,KR/PR,1982,1984,30,0
George Allen,HOU,,1966,1966,9,0
Gerry Allen,BAL|WAS,HB,1966,1969,28,17
Grady Allen,ATL,LLB,1968,1972,59,33
Greg Allen,CLE|TAM,,1985,1986,9,0
Harvey Allen,SEA,db,1987,1987,2,2
Ian Allen,NYG|PHI|ARI,lt/rt,2002,2005,25,11
Jackie Allen,OAK|BUF|PHI,FS,1969,1972,34,10
Jake Allen,2TM,,2009,2009,3,0
James Allen,CHI|HOU,rb,1998,2002,66,32
James Allen,NOR,LB,2002,2005,48,12
Jared Allen,KAN|MIN|CHI|2TM,DE/dt,2004,2015,187,181
Jason Allen,MIA|2TM|HOU|CIN,lcb/rcb,2006,2012,98,23
Javorius Allen,BAL,rb,2015,2018,44,6
Jeff Allen,STL,,1971,1971,1,0
Jeff Allen,MIA|SDG,LCB,1980,1982,25,9
Jeff Allen,KAN|HOU,lt/RG,2012,2017,70,62
Jimmy Allen,PIT|DET,FS,1974,1981,110,64
Johnny Allen,WAS,C,1955,1958,48,14
Jonathan Allen ,WAS,DE,2017,2018,8,8
Josh Allen,TAM,,2014,2014,3,0
Josh Allen,BUF,QB,2018,2018,4,3
Keenan Allen,SDG|LAC,WR,2013,2018,58,56
Kenderick Allen,NOR|NYG|GNB,ldt,2003,2006,31,3
Kevin Allen,PHI,t,1985,1985,16,4
Larry Allen,DAL|SFO,LG,1994,2007,203,197
Lou Allen,PIT,LT,1950,1951,24,24
Lynn Allen,DET,,1920,1920,2,0
Marcus Allen,RAI|KAN,RB,1982,1997,222,168
Marvin Allen,NWE,rb,1988,1991,37,3
Matt Allen,NYG,P,2002,2002,14,0
Nate Allen,KAN|SFO|MIN|2TM,RCB,1971,1979,108,38
Nate Allen,PHI|OAK|MIA,ss,2010,2017,100,83
Patrick Allen,HOU,RCB,1984,1990,106,72
Rashaun Allen,SEA,,2014,2014,1,0
Ricardo Allen,ATL,S,2014,2018,49,48
Roger Allen,STL|TAM,lg,2009,2012,6,1
Russell Allen,JAX,LB/mlb,2009,2013,78,44
Ryan Allen,NWE,P,2013,2018,84,0
Taje Allen,STL|KAN,lb/rcb,1997,2002,79,4
Terry Allen,MIN|WAS|NWE|NOR|BAL,RB,1991,2001,130,114
Torrence Allen,SDG,,2014,2014,0,0
Tremayne Allen,CHI,,1997,1997,2,0
Will Allen,NYG|MIA|NWE,cb/db/fs/lcb,2001,2012,140,130
Will Allen,TAM|PIT|2TM,SS,2004,2015,176,52
Kurt Allerman,STL|GNB|DET,RILB,1977,1985,125,55
Ty Allert,SDG|2TM|PHI,lb,1986,1990,51,3
Don Alley,BAL|PIT,,1967,1969,18,0
Aundrae Allison,MIN,,2007,2008,26,0
Geronimo Allison,GNB,WR,2016,2018,29,8
Henry Allison,PHI|STL|2TM,LG,1971,1977,55,11
Jim Allison,SDG,,1965,1968,43,0
Neely Allison,BUF|NYG,LE,1926,1928,24,22
Buddy Alliston,DEN,,1960,1960,11,4
Bob Allman,CHI,,1936,1936,1,0
Brian Allred,SEA,,1993,1993,4,0
Colin Allred,TEN,lb,2007,2010,32,2
John Allred,CHI|PIT,te,1997,2002,53,12
Joe Allton,CRD,t,1942,1942,11,3
Jeff Alm,HOU,RDT,1990,1993,44,8
Beau Almodobar,NYG,,1987,1987,2,0
Kiko Alonso,BUF|PHI|MIA,LB,2013,2018,62,52
Gerald Alphin,NOR,,1990,1991,16,0
Jon Alston,STL|OAK,lb,2006,2009,39,8
