name,teams,position,start_year,stop_year,total_game,games_started
Gabe Reid,CHI,fb,2003,2006,30,4
Jah Reid,BAL|KAN,rg/RT,2011,2016,61,18
Jim Reid,HOU,,1995,1995,6,0
Joe Reid,RAM|DTX,,1951,1952,22,8
Justin Reid,HOU,s,2018,2018,4,1
Lamont Reid,ARI,lcb,2005,2005,10,1
Michael Reid,ATL,lb,1987,1992,67,12
Mike Reid,CIN,LDT,1970,1974,64,64
Mike Reid,PHI,,1993,1994,12,0
Spencer Reid,CAR|IND,,1998,1999,28,0
Willie Reid,PIT,,2006,2007,7,0
Riley Reiff,DET|MIN,LT,2012,2018,96,88
Bob Reifsnyder,NYT,LDE,1960,1961,16,11
George Reihner,HOU,g,1977,1982,27,22
Dameon Reilly,MIA,wr,1987,1987,3,1
Jim Reilly,BUF,LG,1970,1971,27,15
Kevin Reilly,PHI|NWE,lb,1973,1975,25,1
Mike Reilly,CHI|MIN,,1964,1969,74,3
Mike Reilly,RAM,lb,1982,1982,9,2
Trevor Reilly,NYJ|MIA|NWE,lb,2014,2017,37,1
Bruce Reimers,CIN|TAM,LG,1984,1993,135,91
Mike Reinfeldt,2TM|HOU,db,1976,1983,104,101
Bill Reinhard ,LAD,b,1947,1948,22,1
Bob Reinhard,LAD|RAM,RDT/RT,1946,1950,66,58
Jeff Reinke,CIN,de,1987,1987,1,1
Chris Reis,NOR,fs,2007,2010,46,1
Earl Reiser,LOU,BB,1923,1923,2,2
Allen Reisner,MIN|2TM|JAX|BAL,te,2011,2014,17,5
Bill Reissig,BKN,bb,1938,1939,22,4
Albie Reisz,RAM|BUF,tb,1944,1947,35,3
Austin Reiter,CLE,c,2016,2017,17,1
Peck Reiter,DAY,g,1926,1927,8,7
Joe Reitz,IND,rt,2011,2016,73,44
Johnny Rembert,NWE,RILB,1983,1992,126,72
Reggie Rembert,CIN,wr,1991,1993,28,4
Bill Remington,SFO,c,1946,1946,9,1
Mike Remmers,TAM|SDG|2TM|CAR|MIN,RG,2012,2018,53,52
Dennis Remmert,BUF,,1960,1960,2,1
Roger Remo,IND,,1987,1987,3,0
Dan Remsberg,DEN,t,1986,1987,21,1
Sean Renfree,ATL,,2014,2015,2,0
Dean Renfro,BAL,,1955,1955,7,1
Dick Renfro,SFO,fb,1946,1946,3,3
Leonard Renfro,PHI,dt,1993,1994,23,2
Mel Renfro,DAL,RCB,1964,1977,174,153
Mike Renfro,HOU|DAL,WR,1978,1987,133,95
Ray Renfro,CLE,FL,1952,1963,142,103
Will Renfro,WAS|PIT|PHI,RDT,1957,1961,60,33
Justin Renfrow,2TM,,2014,2014,0,0
Mike Rengel,NOR,,1969,1969,5,0
Neil Rengel,FRN,fb,1930,1930,11,4
Bob Renn,NYT,,1961,1961,12,0
Terry Rennaker,SEA,,1980,1980,15,0
Bill Renner,GNB,p,1986,1987,6,0
Jess Reno,MUN|EVN,LE,1920,1922,3,3
Caesar Rentie,CHI,,1988,1988,5,0
Pug Rentner,BOS|CHI,bb,1934,1937,43,13
Larry Rentz,SDG,,1969,1969,2,0
Lance Rentzel,MIN|DAL|RAM,WR,1965,1974,115,83
Jay Repko,PHI,,1987,1987,3,0
Joe Repko,PIT|RAM,,1946,1949,37,0
Adam Replogle,ATL,,2014,2014,0,0
Mike Reppond,CHI,,1973,1973,2,0
Glenn Ressler,BAL,LG,1965,1974,125,98
Joe Restic,PHI,,1952,1952,3,0
Jared Retkofsky,PIT,,2008,2009,11,0
Pete Retzlaff,PHI,TE,1956,1966,132,118
Alan Reuber,ARI,,2004,2004,3,0
Konrad Reuland ,NYJ|2TM|BAL,te,2012,2015,30,4
Vic Reuter,SIS,c,1932,1932,2,1
Randy Reutershan,PIT,,1978,1978,11,0
Ray Reutt,PHI,,1943,1943,2,0
Fuad Reveiz,MIA|2TM|MIN,K,1985,1995,147,0
Darrelle Revis,NYJ|TAM|NWE|KAN,LCB/rcb,2007,2017,145,142
Freeman Rexer,CRD|2TM,e,1943,1945,19,2
Vincent Rey,CIN,LB/mlb,2010,2018,116,48
Kendall Reyes,SDG|2TM,DE,2012,2016,76,50
Tutan Reyes,NOR|CAR|BUF|JAX,rg,2001,2008,53,37
Darius Reynaud,MIN|NYG|TEN|2TM,,2008,2013,48,0
Al Reynolds,DTX|KAN,RG,1960,1967,98,16
Bill Reynolds,BKN|CRD,hb,1944,1945,14,2
Billy Reynolds,CLE|PIT|OAK,RH,1953,1960,54,13
Bob Reynolds,DET,RT,1937,1938,20,16
Bob Reynolds,STL|NWE|2TM,LT,1963,1973,141,120
Chase Reynolds,STL|LAR,lg,2012,2016,60,1
Chuck Reynolds,CLE,,1969,1970,25,0
Dallas Reynolds,PHI|NYG,c/lg,2012,2015,50,16
Ed Reynolds,NWE|NYG,rilb,1983,1992,135,51
Ed Reynolds,PHI|CLE,fs/s,2014,2016,16,10
Garrett Reynolds,ATL|DET|STL,lg/rg/rt,2009,2016,67,38
Homer Reynolds,STL,g,1934,1934,2,1
Jack Reynolds,RAM|SFO,RILB,1970,1984,198,162
Jamal Reynolds,GNB,,2001,2003,18,0
Jerry Reynolds,NYG,t,1996,1998,25,2
Jim Reynolds,PIT,,1946,1946,2,0
Jim Reynolds,MIA,fb,1946,1946,7,2
Joffrey Reynolds,STL,,2003,2003,4,0
John Reynolds,CRD,,1937,1937,5,0
Josh Reynolds,LAR,wr,2017,2018,20,1
Keenan Reynolds,SEA,,2018,2018,2,0
LaRoy Reynolds,JAX|2TM|ATL|PHI,lb,2013,2018,72,7
M.C. Reynolds,CRD|WAS|BUF|OAK,qb,1958,1962,40,9
Matt Reynolds,PHI,,2012,2012,0,0
Owen Reynolds,NYG|BRL,le,1925,1926,18,6
Quentin Reynolds,BRL,g,1926,1926,8,2
Rashaad Reynolds,JAX,,2014,2014,0,0
Ricky Reynolds,TAM|NWE,RCB,1987,1996,147,138
Robert Reynolds,TEN,lb,2004,2006,33,2
Tom Reynolds,NWE|CHI,,1972,1973,21,0
Demetrius Rhaney,STL|LAR|WAS,lg,2014,2017,33,1
Floyd Rhea,CRD|BKN|BOS|DET,LG,1943,1947,19,7
Hugh Rhea,BKN,g,1933,1933,2,1
Leonta Rheams,NWE,,1998,1998,6,0
Steve Rhem,NOR,,1994,1995,15,0
Elmer Rhenstrom,RAC,e,1922,1922,6,3
Errict Rhett,TAM|BAL|CLE,rb,1994,2000,86,47
Coby Rhinehart ,ARI,lcb,1999,2003,61,4
Jay Rhodemyre,GNB,C,1948,1952,45,40
Bruce Rhodes,SFO|DET,ss,1976,1978,29,11
Danny Rhodes,BAL,,1974,1974,14,0
Dominic Rhodes,IND|OAK,rb,2001,2010,99,33
Don Rhodes,PIT,LT,1933,1933,7,5
Kerry Rhodes,NYJ|ARI,FS,2005,2012,118,116
Luke Rhodes,IND,,2016,2018,24,0
Ray Rhodes,NYG|SFO,LCB,1974,1980,97,72
Xavier Rhodes,MIN,lcb/RCB,2013,2018,79,72
Jerry Rhome,DAL|CLE|HOU|RAM,qb,1965,1971,71,7
Earnest Rhone,MIA,rilb,1975,1984,116,54
Buster Rhymes,MIN,KR,1985,1986,20,0
Frank Ribar,WAS,,1943,1943,2,0
Dave Ribble,PRT|CRD|PIT,g,1932,1935,15,10
Paul Riblett,BKN,le,1932,1936,56,45
Alan Ricard,BAL,fb,2001,2005,55,32
Patrick Ricard,BAL,,2017,2018,20,0
Benny Ricardo,2TM|DET|NOR|MIN|SDG,k,1976,1984,90,0
Jim Ricca,WAS|2TM|PHI,MG,1951,1956,60,49
 Rice,HAM,,1921,1921,1,0
Allen Rice,MIN|GNB,rb,1984,1991,95,18
Andy Rice,KAN|2TM|CIN|SDG|CHI,LDT,1966,1973,102,40
Dan Rice,CIN,,1987,1987,3,0
Denzel Rice,PHI|HOU|CLE,,2015,2018,12,0
Floyd Rice,HOU|2TM|SDG|OAK|NOR,LOLB,1971,1978,104,59
George Rice,HOU,RDT,1966,1969,37,11
Harold Rice,OAK,,1971,1971,12,0
Jerry Rice,SFO|OAK|2TM,WR,1985,2004,303,284
Jerry Rice,WAS,,2014,2014,0,0
Ken Rice,BUF|OAK|MIA,t,1961,1967,79,8
Orian Rice,NYG,,1929,1929,2,0
Ray Rice,BAL,RB,2008,2013,92,80
Rodney Rice,NWE|TAM,db,1989,1990,26,1
Ron Rice,DET,fs/SS,1996,2001,79,64
Sidney Rice,MIN|SEA,wr,2007,2013,81,57
Simeon Rice,ARI|TAM|2TM,RDE,1996,2007,174,161
Herb Rich,BAL|RAM|NYG,RS,1950,1956,64,45
Randy Rich,2TM|CLE,,1977,1979,29,0
Gary Richard,GNB,,1988,1988,10,0
Jalen Richard,OAK,rb,2016,2018,36,1
Jamey Richard,IND|NWE,c/lg,2008,2012,48,11
Kris Richard,SEA|SFO,lcb,2002,2005,39,1
Stanley Richard,SDG|WAS,FS,1991,1998,124,122
Bobby Richards,PHI|ATL,LDE,1962,1967,84,63
Curvin Richards,DAL|DET,,1991,1993,12,0
David Richards,SDG|DET|ATL|2TM,RT,1988,1996,135,128
Dick Richards,BKN,FB,1933,1933,9,4
Golden Richards,DAL|2TM|CHI,PR/WR,1973,1979,86,67
Howard Richards,DAL|SEA,g,1981,1987,69,18
Jim Richards,NYJ,LS,1968,1969,26,9
Jordan Richards,NWE|ATL,db/s,2015,2018,44,7
Kink Richards,NYG,fb,1933,1939,73,18
Perry Richards,PIT|DET|CRD|STL|BUF|NYT,,1957,1962,47,9
Pete Richards,FRN,c,1927,1927,3,1
Ray Richards,FRN|CHI|DET,t,1930,1936,44,23
Ted Richards,CHI,,1929,1929,1,0
Al Richardson ,BOS,,1960,1960,3,2
Al Richardson ,ATL,RLB,1980,1985,77,69
Antonio Richardson ,MIN,,2014,2014,0,0
Barry Richardson ,KAN|STL|DET,lt/RT,2008,2013,65,49
Bob Richardson ,DEN,,1966,1966,9,0
Bobby Richardson ,NOR,DE,2015,2015,15,11
Bucky Richardson ,HOU,qb,1992,1994,16,4
C.J. Richardson ,ARI|SEA,,1995,1997,15,0
Charlie Richardson ,MIL,,1925,1925,1,0
Cyril Richardson ,BUF,lg,2014,2014,12,4
Damien Richardson ,CAR,ss,1998,2002,77,10
Daryl Richardson ,STL|NYJ|PIT,rb,2012,2016,27,3
David Richardson ,JAX,,2004,2006,13,0
Eric Richardson ,BUF,wr,1985,1986,30,2
Ernie Richardson ,CLE,,1974,1974,2,0
Gloster Richardson ,KAN|DAL|CLE,wr,1967,1974,92,38
Grady Richardson ,WAS,,1979,1980,4,0
Greg Richardson ,MIN|TAM,,1987,1988,4,0
Huey Richardson ,PIT|2TM,,1991,1992,16,0
Jay Richardson ,OAK|SEA|NOR,DE/dt,2007,2013,59,22
Jeff Richardson ,NYJ|MIA,,1967,1969,28,0
Jerry Richardson ,BAL,,1959,1960,22,0
Jerry Richardson ,RAM|ATL,LS,1964,1967,55,36
Jess Richardson ,PHI|BOS,LDT,1953,1964,139,74
John Richardson ,MIA|STL,LDT,1967,1973,88,63
Kyle Richardson ,2TM|BAL|MIN|CIN|CLE,K/P,1997,2005,112,0
Mike Richardson ,HOU,RB,1969,1971,35,7
Mike Richardson ,CHI|SFO,LCB,1983,1989,91,80
Mike Richardson ,NWE|KAN|IND,cb,2008,2010,22,1
Paul Richardson ,PHI,,1993,1993,1,0
Paul Richardson ,SEA|WAS,WR,2014,2018,50,21
Pete Richardson ,BUF,fs,1969,1971,39,24
Reggie Richardson ,RAM,db,1987,1987,3,3
Rico Richardson ,TEN,,2014,2015,6,0
Sean Richardson ,GNB,s,2012,2015,30,1
Shaquille Richardson ,PIT,,2014,2014,0,0
Sheldon Richardson ,NYJ|SEA|MIN,RDT,2013,2018,77,75
Terry Richardson ,PIT,,1996,1996,1,0
Tom Richardson ,BOS,,1969,1970,15,0
Tony Richardson ,KAN|MIN|NYJ,FB,1995,2010,234,133
Trent Richardson ,CLE|2TM|IND,RB,2012,2014,46,37
Wally Richardson ,BAL,,1998,1998,1,0
Willie Richardson ,BAL|MIA,FL,1963,1971,109,54
Weston Richburg,NYG|SFO,C,2014,2018,55,54
Ray Richeson,CHH,g,1949,1949,12,1
Mike Richey,BUF|NOR,LT,1969,1970,19,2
Tom Richey,CIN,,1987,1987,3,0
Wade Richey,SFO|SDG|BAL,k,1998,2004,103,0
David Richie,DEN|SFO|JAX,,1997,2000,12,0
Aldo Richins,DET,,1935,1935,1,0
Harry Richman,CHI,,1929,1929,1,0
Rock Richmond,PIT,,1987,1987,2,0
Frank Richter,DEN,rlb,1967,1969,34,16
Les Richter,RAM,MLB,1954,1962,112,105
Pat Richter,WAS,te,1963,1970,103,44
Paul Rickards,RAM,,1948,1948,3,0
Tom Ricketts,PIT|IND|KAN,g,1989,1993,53,15
Harold Ricks,TAM,rb,1987,1987,3,1
Lawrence Ricks,KAN,,1983,1984,17,0
Mikhael Ricks,SDG|2TM|KAN|DET,te,1998,2003,82,43
Speed Riddell,RII,,1920,1920,1,0
Louis Riddick,ATL|CLE|OAK,db,1992,1998,94,8
Ray Riddick,GNB,e,1940,1946,26,17
Robb Riddick,BUF,rb,1981,1988,78,9
Theo Riddick,DET,rb,2013,2018,74,16
Ryan Riddle,OAK|NYJ,,2005,2006,17,0
Brandon Rideau,CHI,,2008,2008,2,0
Houston Ridge,SDG,LDE,1966,1969,44,15
Dante Ridgeway,NYJ,,2005,2005,8,0
Hassan Ridgeway,IND,dt,2016,2018,30,6
Elston Ridgle,SFO|2TM|PHO|CIN,de,1987,1992,23,2
Colin Ridgway,DAL,p,1965,1965,3,0
Preston Ridlehuber,ATL|OAK|BUF,,1966,1969,22,0
Don Ridler,CLE,t,1931,1931,1,1
Calvin Ridley,ATL,,2018,2018,4,0
Stevan Ridley,NWE|NYJ|ATL|PIT,rb,2011,2018,67,27
Jimmy Ridlon,SFO|DAL,LS,1957,1964,89,37
Chris Riehm,RAI,g,1986,1988,21,6
Jay Riemersma,BUF|PIT,fb/te,1997,2004,112,73
John Rienstra,PIT|CLE,lg,1986,1992,65,48
Doug Riesenberg,NYG|TAM,RT,1987,1996,145,132
Bill Rieth,RAM,g,1941,1945,26,8
Charlie Rieves,OAK|HOU,RLB,1962,1965,38,0
Dick Rifenburg,DET,,1950,1950,12,1
Charley Riffle,RAM|NYY,g,1944,1948,50,18
Dick Riffle,PHI|PIT,FB,1938,1942,53,31
Charles Riggins,TAM,,1987,1987,3,0
John Riggins,NYJ|WAS,RB,1971,1985,175,159
Bob Riggle,ATL,RS,1966,1967,25,25
Cody Riggs,TEN,,2015,2016,14,0
Gerald Riggs,ATL|WAS,rb,1982,1991,129,73
Jim Riggs,CIN|WAS,te,1987,1993,82,5
Thron Riggs,BOS,t,1944,1944,10,1
Joe Righetti,CLE,,1969,1970,23,0
 Riley,RAC,g,1924,1924,1,1
Avon Riley,HOU|PIT,lilb,1981,1987,91,61
Bob Riley,CIN,t,1987,1987,3,3
Bobby Riley,NYJ,,1987,1987,1,0
Butch Riley,BAL,,1969,1969,11,0
Cameron Riley,PIT,db,1987,1987,2,2
Chris Riley,CHI,,2012,2012,0,0
Curtis Riley,TEN|NYG,FS,2016,2018,15,4
Duke Riley,ATL,LB,2017,2018,16,9
Eric Riley,NYJ,te,1987,1987,2,1
Eron Riley,NYJ,,2011,2011,1,0
Eugene Riley,IND|DET,te,1990,1991,6,1
Jack Riley,BOS,RT,1933,1933,12,12
Jim Riley,MIA,LDE,1967,1971,68,52
Karon Riley,CHI|ATL,,2001,2004,25,0
Ken Riley,CIN,RCB,1969,1983,207,201
Larry Riley,DEN|NYJ,,1977,1978,9,0
Lee Riley,DET|PHI|NYG|NYT,RS,1955,1962,83,31
Pat Riley,CHI,,1995,1995,1,0
Perry Riley,WAS|OAK,lb/MLB,2010,2016,90,74
Phillip Riley,NYJ,,1996,1996,1,0
Preston Riley,SFO|NOR,WR,1970,1973,43,12
Steve Riley,MIN,LT,1974,1984,138,128
Victor Riley,KAN|NOR|HOU,lt/rg,1998,2005,111,93
Dave Rimington,CIN|PHI,c,1983,1989,86,80
Brian Rimpf,BAL,rg,2004,2005,16,7
Stuart Rindy,CHI,,1987,1987,2,0
Chad Rinehart ,WAS|BUF|SDG,LG,2009,2014,58,47
Bill Ring,SFO,rb,1981,1986,69,9
Javon Ringer,TEN,,2009,2012,37,0
Christian Ringo,GNB|DET,,2016,2017,14,0
Jim Ringo,GNB|PHI,C,1953,1967,187,186
Carroll Ringwalt,PRT|FRN,c,1930,1931,10,4
Hop Riopel,PRV,tb,1925,1925,4,1
Mike Riordan,SIS,le,1929,1929,9,6
Tim Riordan,NOR,,1987,1987,1,0
Marcus Rios,DEN,,2017,2017,5,0
Aaron Ripkowski,GNB,fb,2015,2017,47,10
Alan Risher,TAM|GNB,qb,1985,1987,19,3
Cody Risien,CLE,RT,1979,1989,146,140
Ed Risk,CRD,,1932,1932,2,0
Elliott Risley,HAM,t,1921,1923,9,9
Andre Rison,IND|ATL|CLE|2TM|KAN|OAK,SE/wr,1989,2000,186,156
Ray Rissmiller,PHI|NOR|BUF,LT,1966,1968,16,11
Ray Risvold,CRD,b,1927,1928,10,3
Jim Ritcher,BUF|ATL,LG,1980,1995,218,167
James Ritchey,TEN,,1997,1997,1,0
Del Ritchhart ,DET,c,1936,1937,21,11
Jon Ritchie,OAK|PHI,fb/wr,1998,2004,94,55
Constantin Ritzmann,ATL,,2005,2005,1,0
Gabe Rivera,PIT,,1983,1983,6,0
Hank Rivera ,OAK|BUF,,1962,1963,12,0
Marco Rivera ,GNB|DAL,RG,1997,2006,155,141
Mike Rivera ,2TM,,2012,2012,11,1
Mychal Rivera ,OAK,te,2013,2016,61,15
Ron Rivera ,CHI,llb,1984,1992,137,56
Steve Rivera ,SFO|2TM,wr,1976,1977,15,1
David Rivers,TAM,,2017,2017,1,0
Derek Rivers,NWE,,2018,2018,1,0
Garland Rivers,CHI,,1987,1987,2,0
Gerald Rivers,2TM,,2013,2014,3,0
Jamie Rivers,STL|NYJ,lb,1968,1975,76,70
Keith Rivers,CIN|NYG|BUF,lb,2008,2014,74,50
Marcellus Rivers,NYG|HOU|NWE,te/wr,2001,2007,79,14
Nate Rivers,NYG,,1980,1980,3,0
Philip Rivers,SDG|LAC,QB,2004,2018,200,196
Reggie Rivers,DEN,rb,1991,1996,96,6
Ron Rivers,DET|ATL,rb,1995,2000,75,6
Don Rives,CHI,mlb,1973,1978,74,42
Jack Rizzo,NYG,,1973,1973,6,0
Joe Rizzo,DEN,LILB/llb,1974,1980,81,60
David Roach,STL,,2009,2009,15,0
John Roach,CRD|STL|GNB|DAL,qb,1956,1964,64,23
Nick Roach,CHI|OAK,MLB,2007,2014,96,75
Rollin Roach,CRD,fb,1927,1927,1,1
Travis Roach,NYJ,,1974,1974,14,0
Trevor Roach,CIN,,2015,2016,4,0
Carl Roaches,HOU|NOR,KR/PR,1980,1985,76,0
Willie Roaf,NOR|KAN,LT,1993,2005,189,189
Michael Roan,HOU|TEN,TE/te,1995,2000,62,19
Oscar Roan,CLE,TE,1975,1978,49,32
Harry Robb,CAN,BB,1921,1926,46,41
Joe Robb,PHI|STL|DET,LDE,1959,1971,159,137
Loyal Robb,RII,,1920,1920,1,0
Stan Robb,CAN,e,1926,1926,3,3
Austin Robbins ,RAI|OAK|NOR|2TM,dt/ldt,1994,2000,80,11
Barret Robbins ,OAK,C,1995,2003,121,105
Fred Robbins ,MIN|NYG|STL,LDT,2000,2011,180,148
Jack Robbins ,CRD,tb,1938,1939,17,3
Kevin Robbins ,CLE|RAM,t,1989,1993,8,4
Randy Robbins ,DEN|NWE,FS/ss,1984,1992,131,41
Tootie Robbins ,STL|PHO|GNB,RT,1982,1993,159,147
Mike Roberg,TAM|IND,te,2001,2002,13,1
Bo Roberson,SDG|OAK|2TM|MIA,FL/KR,1961,1966,81,8
Chris Roberson,JAX|DET,,2005,2008,7,0
Derrick Roberson,TAM|CLE,,2009,2010,8,0
James Roberson,HOU|TEN|JAX,rde,1996,1999,42,21
Lake Roberson,DET,,1945,1945,4,0
Marcus Roberson,STL|BUF,lb/lcb/rcb,2014,2016,32,6
Vern Roberson,MIA|SFO,FS,1977,1978,30,21
Alfredo Roberts,KAN|DAL,te,1988,1992,80,36
Andre Roberts,ARI|WAS|DET|ATL|NYJ,wr,2010,2018,123,40
Archie Roberts,MIA,,1967,1967,1,0
Bill Roberts,GNB,,1956,1956,4,2
C.R. Roberts,SFO,FB,1959,1962,27,17
Cliff Roberts,OAK,,1961,1961,10,0
Darryl Roberts,NYJ,cb,2016,2018,31,6
Elandon Roberts,NWE,LB,2016,2018,32,22
Fred Roberts,PRT,rg,1930,1932,26,16
Gary Roberts,ATL,,1970,1970,11,6
Gene Roberts,NYG,LH,1947,1950,44,21
George Roberts,MIA|SDG|ATL,p,1978,1982,67,0
Greg Roberts,TAM,RG,1979,1982,45,42
Guy Roberts,CAN|POT,b,1926,1927,11,6
Guy Roberts,HOU|ATL|MIA,lb,1972,1977,67,18
Hal Roberts,STL,P,1974,1974,14,0
Jack Roberts,2TM|PHI,HB,1932,1934,24,7
Larry Roberts ,SFO,RDE,1986,1993,89,34
Mace Roberts,HAM,e,1920,1924,12,2
Michael Roberts,DET,te,2017,2018,17,4
Ray Roberts,SEA|DET,lt/rt,1992,2000,127,116
Red Roberts,TOL|AKR,t,1922,1923,3,3
Seth Roberts ,OAK,fb/wr,2014,2018,50,18
Terrell Roberts,CIN,,2003,2004,23,1
Tim Roberts,HOU|NWE,LDE,1992,1995,37,14
Tom Roberts,NYG|CHI,t,1943,1945,25,3
Walter Roberts,CLE|NOR|WAS,WR,1964,1970,83,37
Wes Roberts,NYJ,,1980,1980,6,0
William Roberts,NYG|NWE|NYJ,LG,1984,1997,195,154
Willie Roberts,CHI,,1973,1973,4,0
Wooky Roberts,CAN|CLE|FRN,bb,1922,1926,36,28
Bernard Robertson,CHI,lt,2002,2002,16,5
Bob Robertson,HOU,,1968,1968,14,0
Bobby Robertson,BKN,C,1942,1942,11,1
Craig Robertson,CLE|NOR,LB/mlb,2012,2018,93,64
Dewayne Robertson,NYJ|DEN,LDT/nt,2003,2008,92,90
Harry Robertson,RCH,t,1922,1922,1,1
Isiah Robertson,RAM|BUF,ROLB,1971,1982,168,159
Jamal Robertson,SFO|2TM|CAR|ATL,,2002,2006,35,0
James Robertson,AKR,BB,1924,1925,16,12
Marcus Robertson,HOU|TEN|SEA,FS/s,1991,2002,162,144
Pete Robertson,WAS,,2017,2017,4,0
Tom Robertson,BKN|NYY,C,1941,1946,34,21
Tracy Robertson,CHI,,2013,2013,1,0
Travian Robertson,ATL|3TM,dt,2012,2014,14,0
Tyrone Robertson,BUF,,2001,2001,12,0
Roy Robertson-Harris,CHI,,2017,2018,17,0
Paul Robeson,AKR|MIL,RE,1921,1922,15,13
Nickell Robey-Coleman ,BUF|LAR,cb/rcb,2013,2018,83,19
A'Shawn Robinson,DET,DT,2016,2018,35,23
Adrian Robinson,PIT|3TM,,2012,2013,22,0
Adrien Robinson,NYG,te,2012,2014,19,1
Aldrick Robinson,WAS|2TM|ATL|SFO|MIN,wr,2012,2018,72,5
Allen Robinson,JAX|CHI,WR,2014,2018,47,44
Bill Robinson,GNB|NYT,,1952,1960,3,0
Billy Robinson,CLE,,1987,1987,3,0
Bo Robinson,DET|ATL|NWE,rb,1979,1984,80,22
Bryan Robinson ,STL|CHI|MIA|CIN|ARI,dt/NT,1997,2010,207,170
Cam Robinson ,JAX,LT,2017,2018,17,17
Charley Robinson,GNB|BAL,,1951,1954,8,3
Corey Robinson,DET|CAR,lg/rt/tb,2015,2018,25,8
Craig Robinson,NOR,,1972,1973,19,0
Damien Robinson,TAM|NYJ|SEA,fs/ss,1998,2003,83,65
Dave Robinson,GNB|WAS,LLB,1963,1974,155,132
DeJuan Robinson,CLE,db,1987,1987,3,3
DelJuan Robinson,HOU,rcb,2008,2009,27,3
Demarcus Robinson,KAN,WR,2016,2018,36,8
Denard Robinson,JAX,rb,2013,2016,55,13
Derreck Robinson,SDG|MIA|CLE,,2005,2010,40,0
Don Robinson,ATL,,1987,1987,2,0
Dunta Robinson,HOU|ATL|KAN,cb/lcb,2004,2013,139,128
Ed Robinson,HAM|2TM,WB,1923,1926,17,13
Ed Robinson,PIT,,1994,1994,16,0
Eddie Robinson,HOU|JAX|TEN|BUF,LLB,1992,2002,175,163
Edmond Robinson,MIN|NYJ,lb,2015,2017,22,2
Eugene Robinson ,SEA|GNB|ATL|CAR,FS/s,1985,2000,250,232
Frank Robinson,2TM|DEN,db,1992,1993,31,2
Fred Robinson,CLE,RG,1957,1957,12,7
Fred Robinson,SDG|2TM,lb,1984,1986,46,6
Freddie Robinson,IND,SS,1987,1988,22,19
Gerald Robinson,MIN|SDG|RAM,de,1986,1994,89,28
Gerrell Robinson,ARI|2TM,,2012,2014,3,0
Gijon Robinson,IND,RB/te,2008,2010,39,26
Gil Robinson,PIT,,1933,1933,1,0
Glenn Robinson,BAL|TAM,de,1975,1977,39,4
Greg Robinson,TAM|NWE,t,1986,1987,6,3
Greg Robinson,RAI|STL,rb,1993,1996,28,13
Greg Robinson,STL|LAR|DET|CLE,lt,2014,2018,56,48
Gregg Robinson,NYJ,,1978,1978,16,0
Jack Robinson,BKN|2TM|CRD,RT,1935,1938,38,12
Jacque Robinson,PHI,fb,1987,1987,3,3
Jeff Robinson,DEN|STL|DAL|SEA,fb/te/wr,1993,2009,202,18
Jeroy Robinson,2TM,,1990,1990,6,0
Jerry Robinson,SDG|NYJ,FL/KR,1962,1965,46,0
Jerry Robinson,PHI|RAI,LLB,1979,1991,184,147
Jim Robinson,NYG|SFO,KR/PR/WR,1976,1980,58,44
Johnnie Robinson,DET,,1966,1966,14,0
Johnny Robinson,DTX|KAN,FS,1960,1971,164,83
Johnny Robinson,OAK|RAI,NT,1981,1983,27,16
Josh Robinson,MIN|TAM,cb,2012,2017,74,21
Josh Robinson,IND,,2015,2015,5,0
Junior Robinson,NWE|DET,,1990,1992,26,0
Keenan Robinson,WAS|NYG,lb/mlb,2012,2017,58,30
Kevin Robinson,KAN,,2008,2008,8,0
Khiry Robinson,NOR|NYJ,rb,2013,2016,29,3
Koren Robinson,SEA|MIN|GNB,WR,2001,2008,96,70
Larry Robinson,DAL,,1973,1973,4,0
Larry Robinson,NYJ,db,1987,1987,3,2
Laurent Robinson,ATL|STL|DAL|JAX,wr,2007,2012,59,28
Lee Robinson,DEN,,2010,2010,3,0
Luther Robinson,GNB,,2014,2014,5,0
Lybrant Robinson,WAS,,1989,1989,5,0
Marcus Robinson,CHI|BAL|MIN,wr,1998,2006,107,52
Mark Robinson,KAN|TAM,SS,1984,1990,88,48
Matt Robinson,NYJ|DEN|BUF,qb,1977,1982,69,20
Michael Robinson,SFO|SEA,fb/wr,2006,2013,112,19
Mike Robinson,CLE,RDE,1981,1982,18,8
Mike Robinson,GNB,,1996,1996,6,0
Patrick Robinson,CIN|ARI,KR/PR,1993,1994,30,3
Patrick Robinson,NOR|SDG|IND|PHI,rcb,2010,2018,100,58
Paul Robinson,CIN|2TM|HOU,KR,1968,1973,79,58
Rafael Robinson,SEA|HOU|TEN,db,1992,1997,70,7
Ramzee Robinson,DET|2TM,,2007,2009,26,0
Rashard Robinson,SFO|2TM,rcb,2016,2017,28,14
Rex Robinson,NWE,k,1982,1982,3,0
Ryan Robinson,OAK|SEA,,2013,2014,11,0
Ryne Robinson,CAR,,2007,2007,16,0
Shelton Robinson,SEA|DET,LILB,1982,1988,96,51
Stacy Robinson,NYG,wr,1985,1990,43,14
Terrence Robinson,ATL,ss,2003,2003,1,0
Tony Robinson,WAS,,1987,1987,1,0
Travaris Robinson,2TM,,2003,2003,9,1
Trent Robinson,SFO|WAS,SS,2012,2015,38,9
Trevor Robinson,CIN|2TM|SDG,C,2012,2015,37,21
